site,IGBP,Koppen,R2,RMSE,MAPE,pred_std,target,model,split_type,n_seeds
AMF_US-NC1,ENF,C,0.6371243000030518,2.2658891677856445,0.3547546,0.5854292185278079,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
FLX_DE-RuS,CRO,C,0.515667200088501,4.015652179718018,0.47427076,0.46335466502612593,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
FLX_IT-Col,DBF,D,0.9085136651992798,1.3916043043136597,0.22662012,0.8114136966062163,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
FLX_CA-NS5,ENF,D,0.8376041650772095,1.0161787271499634,0.32031652,0.26872861622933736,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-Tw3,CRO,C,0.0,5.063360214233398,0.46930397,0.9880461334974064,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-ICt,OSH,D,0.48704081773757935,0.8351860046386719,0.9238398,0.3730958964882822,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-xGR,DBF,C,0.8045721650123596,2.443561553955078,0.3549245,0.657676262577334,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
FLX_CA-TPD,DBF,D,0.9007372260093689,1.2941246032714844,0.2795748,0.4245391533152115,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
ICOSETC_IT-SR2,ENF,C,0.7210448980331421,1.8304502964019775,0.21714434,0.5763103029293883,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
JPX_CN-Lsh,DNF,D,0.8659570813179016,2.2063229084014893,0.15330581,0.9796710418235434,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
FLX_CZ-BK1,ENF,D,0.8122671842575073,1.7517356872558594,0.26299492,0.5178809769948208,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-Mpj,WSA,B,0.0,0.9443788528442383,0.47126853,0.3763478140237325,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-xAE,GRA,C,0.7926979064941406,0.8101488947868347,0.32748777,0.5725832403976409,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
FLX_PA-SPs,GRA,A,0.3208569288253784,2.6065762042999268,0.3119624,1.5005674678587044,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-RGA,CRO,C,0.5018683671951294,4.91057014465332,0.4570567,0.9344701604327298,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
FLX_US-UMB,DBF,D,0.9101746678352356,1.1782584190368652,0.27332646,0.39986438005083275,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
FLX_CA-NS4,ENF,D,0.23999559879302979,1.3143155574798584,0.6784934,0.27485859624865266,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-ORv,WET,D,0.6707319021224976,1.986716628074646,0.4751214,0.37391838176333725,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
ICOSETC_BE-Vie,MF,C,0.8018321990966797,1.7360206842422485,0.24079229,0.3424670774442993,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-xDC,GRA,D,0.896355152130127,0.6982417702674866,0.30848378,0.37314874246402774,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
ICOSETC_FI-Var,ENF,D,0.8186520338058472,0.8311998844146729,0.43350986,0.3801491542269908,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
FLX_AU-ASM,SAV,B,0.508847713470459,0.786121666431427,0.7854983,0.4639885698307284,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-Me1,ENF,C,0.6487871408462524,0.562509298324585,0.3762813,0.41282839605171756,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
FLX_DE-Akm,WET,C,0.6142889261245728,2.917198419570923,0.43744063,0.42918358490726954,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
ICOSETC_NO-Hur,ENF,D,0.0,1.7174670696258545,0.9324854,0.357051940496549,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
JPX_JP-Spp,DBF,D,0.0,5.68693733215332,0.44979435,0.900527388823104,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
AMF_CA-SF1,ENF,D,0.4720858931541443,1.6613764762878418,0.23737985,0.6659234476722812,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-LS2,SAV,B,0.6335217952728271,1.3706026077270508,0.4902063,0.3806508524724562,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-AR1,GRA,C,0.10330373048782349,2.069401264190674,0.9771256,0.5371374751036068,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
FLX_DE-Lnf,DBF,D,0.9290297627449036,1.227729320526123,0.21729812,0.4903815364679565,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
ICOSETC_SE-Htm,ENF,D,0.570693850517273,3.1562423706054688,0.4247227,0.8027415012219683,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-ICh,OSH,D,0.6703461408615112,0.6021904349327087,0.6857774,0.37117322780794976,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
ICOSETC_DE-RuR,GRA,C,0.7802115678787231,2.0086381435394287,0.2656302,0.4856143271649681,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
FLX_CA-TP2,ENF,D,0.3833693265914917,4.092906951904297,0.57348055,0.4191402492011649,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-NC3,ENF,C,0.5339488983154297,2.5480246543884277,0.40474406,0.7081527857169123,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
FLX_CH-Oe2,CRO,C,0.5007061958312988,3.2482521533966064,0.6398134,0.6490799358692113,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-Wi1,DBF,D,0.22931843996047974,5.5285139083862305,0.38846982,0.5610793913988186,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
JPX_CN-HaM,GRA,D,0.0,1.9277173280715942,0.41896042,1.2778494938622633,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-xDS,CVM,C,0.6743456721305847,0.8914243578910828,0.18335356,0.756235932191787,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
FLX_FI-Let,ENF,D,0.8254051208496094,1.7322587966918945,0.2890812,0.5439962574435863,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
AMF_CA-Qc2,MF,D,0.7595797777175903,1.6588637828826904,0.33183298,0.46620455083958984,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-BZB,WET,D,0.871441125869751,0.6509846448898315,0.31223425,0.32493336753048396,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-Ho2,ENF,D,0.6883808374404907,2.195996046066284,0.33430332,0.4815040529542963,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-xRM,ENF,D,0.8364467024803162,0.6280537843704224,0.4631343,0.42268213410864025,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
ICOSETC_GL-NuF,WET,E,0.638418436050415,0.8679165244102478,0.40646955,0.30265134672366967,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-Fwf,GRA,D,0.4117621183395386,0.8627296686172485,0.6123118,0.6506891250607257,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-Ro2,CRO,D,0.5909988880157471,2.6881730556488037,0.49022382,0.4734316382841532,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
FLX_ES-Ln2,OSH,D,0.0,1.543069839477539,6.379942,0.4582722402315941,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
FLX_US-AR1,GRA,C,0.14126169681549072,1.8978298902511597,0.9250991,0.5277085495518297,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
FLX_IT-Isp,DBF,C,0.6925084590911865,2.8589367866516113,0.4344979,0.6770979792869091,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-PFd,WET,D,0.43668830394744873,1.4172672033309937,0.43892378,0.5272714584507396,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
JPX_JP-Sb2,WET,D,0.0,1.858106017112732,0.2580951,0.8411087656384209,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
FLX_DE-Tha,ENF,D,0.9016700387001038,1.2914496660232544,0.19414589,0.4931614267507468,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-xSR,OSH,B,0.6429440379142761,0.3750346302986145,0.58544666,0.1673304171792706,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
ICOSETC_DE-Gri,GRA,D,0.7245760560035706,2.140347480773926,0.3259783,0.45495034585424166,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
FLX_AU-Stp,GRA,B,0.6764861941337585,0.7884819507598877,0.5664606,0.5578934282772786,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
ICOSETC_FR-Bil,ENF,C,0.7067890167236328,1.7636345624923706,0.24405472,0.5293645826923317,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
AMF_BR-Npw,WSA,A,0.3624899983406067,1.9983773231506348,0.24341436,1.4513973783449747,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
FLX_AU-Lox,DBF,B,0.0,7.3841233253479,0.81874377,0.4219495860860705,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
AMF_CA-SCC,ENF,D,0.0,1.681331753730774,0.87109137,0.36051706552672413,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-GLE,ENF,D,0.8075692653656006,1.0394573211669922,0.4605031,0.2879107187692039,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
FLX_AT-Neu,GRA,D,0.061054110527038574,5.824362277984619,0.5970177,0.569692875019834,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
FLX_FR-Gri,CRO,C,0.4885331392288208,3.568145275115967,0.5569971,0.4260430801861054,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-xUN,MF,D,0.904986560344696,1.0733226537704468,0.3330937,0.24686826540445572,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
FLX_IT-Tor,GRA,D,0.8259406685829163,1.3842929601669312,0.26567167,0.46277146400853914,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-UMd,DBF,D,0.9008065462112427,1.2672842741012573,0.25100678,0.4091079063426787,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-PFq,DBF,D,0.8105422258377075,1.984573245048523,0.22881413,0.4588819003275544,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-Rws,OSH,B,0.3983837366104126,0.8653050661087036,0.50862175,0.23061033125568375,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
ICOSETC_DE-RuW,ENF,C,0.5976361036300659,2.636049747467041,0.33455828,0.47869868989037295,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-xMB,OSH,B,0.0,0.389081746339798,1.6985099,0.2193550930651342,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
AMF_CA-Cbo,DBF,D,0.7243421077728271,2.4832239151000977,0.46921062,0.4526842515028812,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-Me3,ENF,C,0.7584400773048401,0.787126362323761,0.26731488,0.4303313499863777,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
FLX_FI-Sod,ENF,D,0.8852574825286865,0.7056918740272522,0.32575598,0.33731487085101314,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
FLX_US-ORv,WET,D,0.8355303406715393,1.1080907583236694,0.33889818,0.4520905481291968,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
FLX_US-Cop,GRA,B,0.2920992970466614,0.3164902329444885,0.79935545,0.21772575153815238,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
FLX_FR-Fon,DBF,C,0.9143560528755188,1.4633185863494873,0.23885256,0.5432058040005024,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
FLX_ES-LJu,OSH,C,0.0,1.4877676963806152,3.6833508,0.549368641427863,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-xBA,WET,E,0.0,0.8974547982215881,1.6152372,0.31454285180912256,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-Wkg,GRA,B,0.7218334078788757,0.48649460077285767,0.68032753,0.19141721965352096,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
FLX_IT-Ro1,DBF,C,0.8311975002288818,1.446481704711914,0.25619778,0.5512242478347279,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
FLX_US-Wi6,OSH,D,0.8223295211791992,1.0905203819274902,0.3400432,0.5357519990447017,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-Tw4,WET,C,0.7763516902923584,1.9370707273483276,0.2695935,0.5797265417726297,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
FLX_FI-Jok,CRO,D,0.6452481150627136,0.8753696084022522,0.74060065,0.5207079926115571,GPP_NT_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-Var,GRA,C,0.5276049375534058,1.3278586864471436,0.46198386,0.2950653211678663,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-CF1,CRO,D,0.729802131652832,0.7198762893676758,0.3088498,0.29493790684551247,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
FLX_ES-Amo,OSH,B,0.0,0.7005319595336914,1.5238292,0.2927645655489582,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
ICOSETC_FR-Tou,GRA,C,0.27629196643829346,1.429695963859558,0.30161428,0.6133134238202111,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
ICOSETC_IT-TrF,DNF,D,0.0,2.0238773822784424,2.3932807,0.35958796607048504,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
FLX_JP-SMF,MF,C,0.0,1.9357491731643677,0.3689013,0.4500016939545893,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
FLX_US-Ivo,WET,D,0.849465012550354,0.33783388137817383,0.2765978,0.2083261462379962,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
ICOSETC_DK-RCW,DBF,C,0.49602794647216797,1.5156629085540771,0.36103463,0.3487392188215673,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-EML,OSH,D,0.38052302598953247,0.7824597954750061,0.4655027,0.3098278314427633,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
AMF_CA-Ca1,ENF,C,0.3523712754249573,2.8322534561157227,0.4164602,0.3388044590524417,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
FLX_AU-Dry,SAV,A,0.0,1.217244267463684,0.39517316,0.4199526627127186,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-Ro5,CRO,D,0.8278721570968628,1.3596594333648682,0.31926432,0.3006682310776889,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
FLX_CA-Man,ENF,D,0.8127720355987549,0.743181049823761,0.24485669,0.2355674466575835,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
FLX_DE-Spw,WET,C,0.7993379235267639,0.9755464792251587,0.21786173,0.37780936071633103,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
FLX_US-Tw1,WET,C,0.0,1.502813696861267,0.19849311,0.48362317421742973,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-xBL,DBF,C,0.8434256315231323,0.7486323714256287,0.16952313,0.4233895545530953,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
ICOSETC_GL-ZaF,WET,E,0.0,0.5695948004722595,0.7293477,0.17383178327392554,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
FLX_CA-Qfo,ENF,D,0.8907220959663391,0.505101203918457,0.20395862,0.2350926625361794,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
JPX_JP-BBY,WET,D,0.0,1.950486421585083,0.39705515,0.741323319942205,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
FLX_IT-Noe,CSH,C,0.0,1.4730204343795776,0.5282959,0.3377277603569796,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
AMF_CA-NS1,ENF,D,0.8418083190917969,0.616432785987854,0.24018654,0.2139415750774361,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
FLX_US-Me1,ENF,C,0.0,0.9991010427474976,1.1367551,0.4190752967558341,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
FLX_US-AR2,GRA,C,0.10902631282806396,0.9183899164199829,0.7070179,0.30794491893150266,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
FLX_US-Tw4,WET,C,0.314875066280365,1.2470980882644653,0.32788235,0.5694325308573207,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-Syv,MF,D,0.7714425325393677,1.596976637840271,0.30429342,0.2581839746666121,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
FLX_US-Wi9,ENF,D,0.0,1.641919732093811,0.59460205,0.5230745300847869,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
FLX_AU-DaP,GRA,A,0.7224108576774597,1.3227590322494507,0.31590164,0.5279521311216518,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
FLX_US-ARc,GRA,C,0.7934116125106812,1.0032001733779907,0.22680767,0.49925821764483286,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-xYE,ENF,D,0.6140496730804443,1.1731674671173096,0.4309765,0.25892362075360703,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-NC1,ENF,C,0.38422322273254395,2.9444580078125,0.36457562,0.4305809264292442,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
FLX_DE-RuS,CRO,C,0.7466021776199341,1.030030608177185,0.20656848,0.28527383735973777,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
FLX_IT-Col,DBF,D,0.4923487901687622,0.9536677598953247,0.29189616,0.5148097841586422,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
FLX_CA-NS5,ENF,D,0.8492352962493896,0.7165615558624268,0.28101945,0.22677730765835216,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-Tw3,CRO,C,0.014576077461242676,1.7604166269302368,0.21804379,0.6503595809332575,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-ICt,OSH,D,0.0,0.8923446536064148,1.2625895,0.2469516024394297,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-xGR,DBF,C,0.3247818350791931,3.46614146232605,0.4514675,0.5417851369356566,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
FLX_CA-TPD,DBF,D,0.7885802984237671,1.0595778226852417,0.26119176,0.30500380243836067,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
ICOSETC_IT-SR2,ENF,C,0.39031416177749634,1.8891795873641968,0.25992197,0.5015632260174899,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
JPX_CN-Lsh,DNF,D,0.0,2.6083972454071045,0.28722847,0.8133195165558942,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
FLX_CZ-BK1,ENF,D,0.17708444595336914,1.4078160524368286,0.4000902,0.3786511785125367,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-Mpj,WSA,B,0.5489765405654907,0.5004106163978577,0.32567614,0.22665431408703313,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-xAE,GRA,C,0.1267869472503662,1.2837352752685547,0.63246727,0.5716897853185304,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
FLX_PA-SPs,GRA,A,0.0005454421043395996,2.1610848903656006,0.22640294,1.9317170166582935,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-RGA,CRO,C,0.6716735363006592,1.7009016275405884,0.2669949,0.6785540910787897,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
FLX_US-UMB,DBF,D,0.8862127661705017,0.6867092251777649,0.18473192,0.27087298703282914,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
FLX_CA-NS4,ENF,D,0.4138765335083008,0.9263166785240173,0.57499385,0.22482925207694457,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-ORv,WET,D,0.15251630544662476,1.2339919805526733,0.4195588,0.34220390889490093,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
ICOSETC_BE-Vie,MF,C,0.5944923162460327,1.4524155855178833,0.28414068,0.2675755489796185,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-xDC,GRA,D,0.8183678388595581,0.8950175046920776,0.29282314,0.29637289107562187,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
ICOSETC_FI-Var,ENF,D,0.8543487787246704,0.5556793808937073,0.28896278,0.3127219886024189,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
FLX_AU-ASM,SAV,B,0.40704864263534546,0.6603587865829468,0.7485549,0.39254671615672415,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-Me1,ENF,C,0.0,1.0664135217666626,1.082583,0.4436195558909007,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
FLX_DE-Akm,WET,C,0.610401451587677,1.903316617012024,0.34004897,0.35569740077549455,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
ICOSETC_NO-Hur,ENF,D,0.7555297613143921,0.9660447835922241,0.29257655,0.48550157498619756,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
JPX_JP-Spp,DBF,D,0.0,0.7725329995155334,0.12630947,0.5737779272954378,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
AMF_CA-SF1,ENF,D,0.22039633989334106,2.7373440265655518,0.38259432,0.41588327346012854,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-LS2,SAV,B,0.7911766171455383,0.549780547618866,0.27830312,0.30569752271766515,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-AR1,GRA,C,0.3023154139518738,1.2259210348129272,0.49155816,0.35136008065014124,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
FLX_DE-Lnf,DBF,D,0.7444589138031006,0.782841145992279,0.214045,0.3346201714697677,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
ICOSETC_SE-Htm,ENF,D,0.06973487138748169,4.376502513885498,0.5270438,0.6020127516520722,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-ICh,OSH,D,0.0,0.649970293045044,0.8456852,0.24824767152857372,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
ICOSETC_DE-RuR,GRA,C,0.8642045259475708,1.1970956325531006,0.16893898,0.4294382798308755,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
FLX_CA-TP2,ENF,D,0.5786781311035156,2.311776876449585,0.42325494,0.30465131392173195,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
AMF_US-NC3,ENF,C,0.45278728008270264,2.4298171997070312,0.3154282,0.5350714418884654,RECO_NT_VUT_USTAR50,tam-rl,Koppen,10
